What do you think about the behavior of Crimson One?,You will be presented with some statements. Please choose your level of agreement with the statements using the options given. ,Here is a reminder of the scenario in case you need it. Please take into account that all the questions will make reference to it:  Crimson One is an Australian construction business that builds residential properties in Australia. The business has around 300 employees. Crimson One has been operating for over ten years and its financial situation is very good. One day Crimson One owners decide to increase their profits and start employing cheaper materials to construct houses in low-income Australian suburbs where it can go unnoticed. The strategy is a success for Crimson One and the business owners decide to stick with it. However several Australian house owners and tenants are eventually impacted by the use of cheap materials and they later find themselves spending money on house maintenance and repairs. ,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,,,,,,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3,Iden1,Iden2,Iden3,Iden4,Iden5,Iden6,
,,,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,Dir2Rev,Dir4Rev,Ind2Rev,Ind4Rev,Total Greed,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3,Iden1,Iden2,Iden3,Iden4,Iden5,Iden6,Total Id.
It is immoral,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,7,7,6,7,7,41
I think its bad,,,5,4,6,2,6,2,5,4,4,6,6,4,42,2,2,2,6,2,2,7,5,2,7,6,7,7,7,6,7,7,41
Crimson One has more concern with economic gain than moral values for other people!,,,6,2,6,1,5,2,6,2,6,7,6,6,48,2,5,6,7,2,2,6,5,2,7,6,5,5,5,6,6,5,32
Using lower quality materials is never good for anyone - the consumer or the company. It hurts everyone and I do not think the companies behavior was good in any way. Profit over safety and quality is never a good thing for anyone. ,,,7,1,7,1,7,7,3,1,7,7,1,7,46,1,1,7,7,1,1,7,7,1,7,7,7,7,7,6,6,6,39
"I think it was a good business idea, but a bad moral decision.",,,5,3,6,3,6,3,5,4,5,5,5,4,41,3,3,3,5,3,3,6,5,5,7,7,1,1,1,1,1,1,6
Its bad. They are using worse materials to make more money for themselves and screw over the people who live in their buildings in the longrun.,,,7,1,7,1,6,1,6,1,7,7,7,7,54,1,1,4,6,1,1,6,6,1,7,7,7,5,5,5,2,4,28
I think the behavior of Crimson One is immoral. They are selfish and only care about themselves. Its a lousy business model and one that probably will end up destroying them in the end.,,,7,1,7,1,7,1,6,1,7,7,7,7,55,3,3,7,7,1,1,7,7,1,7,7,7,7,7,7,7,7,42
I think its unethical and should be corrected.,,,6,2,5,2,6,2,4,3,6,6,6,5,44,4,4,4,5,2,2,6,6,2,6,6,7,7,7,7,7,7,42
they are in business for the profit,,,5,3,6,2,7,2,4,4,5,6,6,4,43,2,2,4,5,3,3,6,6,2,6,5,6,6,6,6,6,6,36
I think it was wrong to start using cheaper quality products. Their actions impacted innocent people.,,,7,1,6,1,7,1,5,1,7,7,7,7,53,2,1,7,6,1,1,7,6,1,7,6,4,4,2,3,3,4,20
It was bad to use the cheaper materials that will affect the quality of the buildings.,,,6,2,6,1,6,1,4,2,6,7,7,6,48,2,2,5,6,1,4,7,6,1,7,6,6,7,7,7,7,6,40
They are selfish and dont care about their customers!,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,6,7,7,7,7,41
"a shameful thing to do, but they are not the only ones doing business like that these days",,,6,2,6,2,7,1,7,2,6,6,7,6,51,1,1,7,7,1,2,7,7,1,7,7,5,6,5,5,6,5,32
reprehensible profit mongering ,,,7,1,6,1,7,1,6,1,7,7,7,7,54,4,4,6,6,1,1,7,6,1,7,7,5,5,3,5,3,5,26
It isnt right or moral,,,6,2,6,1,6,2,6,1,6,7,6,7,50,4,4,5,6,1,2,7,7,2,5,6,7,6,7,5,4,4,33
"I understand the desire to have greater profit but to do it at the expense of the poor is not very good.  Cutting corners with peoples lives, poor or not, is not in the best interest of anyone.",,,6,2,7,2,7,1,7,2,6,6,7,6,52,1,1,6,6,1,2,3,6,1,7,6,7,7,7,7,7,7,42
Unethical,,,6,2,6,6,6,2,5,2,6,2,6,6,43,2,2,6,6,2,2,6,6,1,7,7,6,6,5,5,5,5,32
I think it’s not very honest and they are padding their pockets at the expense of people who can’t afford to fix their mistakes. ,,,7,1,6,1,7,1,7,2,7,7,7,6,54,1,1,7,7,1,1,6,6,1,7,7,6,5,5,5,3,3,27
I think it is unfortunate that companies have cut corners to sell an less than quality product which leads to consumers having higher costs to improve the conditions that should have already been standard,,,6,3,6,2,6,1,5,1,5,6,7,7,48,1,1,6,6,1,1,6,6,1,6,6,4,5,5,5,6,6,31
I THINK CRIMSON ONE IS VERY IRRESPONSIBLE AND IMMORAL IN THEIR BUSINESS. THEIR ACTIONS ARE PUTTING A LOT OF LIVES IN DANGER BY THEIR USE OF CHEAP AND LOW QUALITY PRODUCTS.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,1,7,7,7,7,7,7,42
I think it is poor business practice to intentionally use lesser quality materials.  ,,,7,2,7,1,7,1,5,2,6,7,7,6,52,1,1,6,7,1,2,6,6,1,7,6,7,7,7,7,7,7,42
i think it is immoral and unethical.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,6,1,7,7,4,3,1,4,1,4,17
"I do not like that type of business behavior, it seems unethical.",,,5,2,6,2,6,2,6,2,6,6,6,6,47,2,2,6,6,2,2,7,5,1,6,6,6,7,6,6,5,6,36
I think the behavior of Crimson One is deplorable because it offloads negative consequences into the futures of lower-power stakeholders.,,,7,1,6,1,7,1,3,1,7,7,7,7,51,1,1,7,7,1,1,7,7,1,7,7,4,5,5,3,4,4,25
Its reprehensible. Their business practices will hurt them and their customers in the long run.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,6,5,5,4,5,5,30
Its pretty unethical to make cheaper houses but Im sure others do it too. Its still unethical. ,,,7,1,7,1,7,2,7,1,7,7,6,7,55,3,2,6,7,4,2,4,4,1,7,7,5,4,1,3,5,6,24
"I dont approve of course. Theyve hurt the community they serve by lowering the quality of their materials, and the welfare of the community is more important than their bottom line",,,7,1,6,1,7,1,4,2,7,7,7,6,51,4,4,4,4,1,1,7,7,1,7,7,3,4,5,4,5,5,26
