Size,Group,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,Score,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep2,Bla1,Bla2,Bla3
Large,Foreign,7,7,6,7,7,7,6,7,54,7,7,6,6,7,7,7,7,7,7,7
Large,Foreign,6,6,7,6,7,7,5,5,49,7,7,7,6,7,7,7,6,7,7,7
Large,Foreign,7,7,6,7,7,7,7,7,55,7,7,6,7,7,7,7,7,7,7,6
Large,Foreign,6,6,5,6,6,7,4,6,46,6,6,6,6,7,7,7,7,6,6,6
Large,Foreign,7,7,3,7,7,7,5,7,50,7,7,7,7,7,6,7,6,7,7,7
Large,Foreign,6,7,5,6,7,7,4,7,49,6,4,7,7,7,7,7,6,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,1,3,7
Large,Foreign,7,7,6,7,7,7,7,7,55,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,6,7,7,7,7,6,7,54,6,6,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,6,7,7,7,7,7,7,6,54,7,7,6,6,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,6,6,5,6,6,6,4,6,45,7,7,5,5,7,6,6,5,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,5,7,7,7,6,7,53,7,7,6,6,1,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,4,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,6,2,7,6,6,6,47,7,7,5,6,6,6,7,7,7,4,6
Large,Foreign,7,7,5,7,7,7,6,7,53,7,7,7,7,7,6,6,6,6,7,5
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,6,6,6,53,7,7,5,3,7,7,6,5,7,7,6
Large,Foreign,7,7,7,6,7,7,6,7,54,7,7,7,7,6,7,7,7,7,7,6
Large,Foreign,6,6,7,6,7,6,6,6,50,6,7,6,6,7,6,6,7,7,7,7
Large,Foreign,6,6,7,2,7,6,5,5,44,5,6,6,6,5,6,7,5,7,7,7
Large,Foreign,6,6,7,6,7,7,5,7,51,7,7,6,7,7,7,5,5,3,6,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,6,7,7,6,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,6,1,7,7,7,7,49,7,7,6,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,6,7,6,6,6
