What do you think about the behavior of Crimson One?,You will be presented with some statements. Please choose your level of agreement with the statements using the options given. ,Here is a reminder of the scenario in case you need it. Please take into account that all the questions will make reference to it:   Crimson One is an American construction business that builds residential properties in the USA. The business has around 300 employees. Crimson One has been operating for over ten years and its financial situation is very good. One day Crimson One owners decide to increase their profits and start employing cheaper materials to construct houses in low-income suburbs where it can go unnoticed. Employing cheap materials goes against the standards that almost every USA company in the same industry follow but Crimson One owners don’t mind. The strategy is a success for Crimson One and the business owners decide to stick with it. However many American homeowners and tenants are eventually impacted by the use of cheap materials and they later find themselves spending money on house maintenance and repairs. ,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,,,,,,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3
,,,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,Dir2Rev,Dir4Rev,Ind2Rev,Ind4Rev,Total G,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3
I think it is unethical and a detriment to their consumers.,,,7,2,6,2,6,1,6,1,6,6,7,7,51,2,3,4,6,2,3,6,7,2,6,7
bad business practace,,,7,1,6,1,7,1,7,1,7,7,7,7,55,1,1,7,7,1,1,6,6,1,7,5
"Just IMPLORABLE AND DISGUSTING~~~  They should written up by someone and get their license taken away or pay ALL of the expenses that it will take to fix ALL of the homes that have problems later on, which probably WON'T happen because the low income can't afford a lawyer to SUE them !!!",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
"it is unethical, and unnecessary",,,6,2,6,3,6,2,5,2,6,5,6,6,46,3,3,4,6,2,3,6,6,1,7,6
It is immoral.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
"I think their behavior is disgusting and amoral, but not surprising. Money tends to matter more than lives to many companies. ",,,7,2,5,2,6,1,5,2,6,6,7,6,48,2,2,6,6,2,2,6,7,1,6,6
"it's a double edge sword. they can provide homes inexpensively. people can have a place to live that might not afford it otherwise...if... they pass on the savings to the consumer. On the other hand, if you are going to do a job, you should do it right the first time. ",,,7,1,7,1,6,1,6,3,7,7,7,5,52,1,1,6,6,1,1,6,5,1,6,5
They are deceiving and unethical,,,5,2,6,2,6,2,6,2,6,6,6,6,47,2,2,5,5,3,2,6,5,3,6,6
I feel it is very unprofessional and that they do not care for their customers.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,7,7,7
The behavior of Crimson One was very unethical. They are cheating the less fortunate with a basic human necessity.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
"I think they a lousy company to take advantage of lower income people, or anyone as far as that goes.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
I think it is bad morally and ethically.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,4,6,1,2,7,5,1,7,7
I wouldn't do business with Crimson One. I think that they put profit before the best interests of their customers. ,,,7,1,7,1,7,1,3,1,7,7,7,7,52,4,2,6,6,1,1,7,7,1,7,7
