Size,Group,Greed_Total,Equality,Need,Equity,Deprivation,Blame,Greed
Small,Foreign,54,6.5,7,7,3.5,7,6.75
Small,Foreign,50,7,5.5,7,7,6.666666667,6.25
Small,Foreign,49,6,5.5,6,7,7,6.125
Small,Foreign,49,7,7,7,7,7,6.125
Small,Foreign,53,7,6,6.5,7,6.666666667,6.625
Small,Foreign,52,7,7,7,6.5,7,6.5
Small,Foreign,50,4,5,2.5,6.5,6.333333333,6.25
Small,Foreign,53,7,6.5,7,7,7,6.625
Small,Foreign,37,4.5,4,5,4.5,6.666666667,4.625
Small,Foreign,44,5,6,5.5,5.5,5,5.5
Small,Foreign,54,7,7,7,7,7,6.75
Small,Foreign,46,5.5,5,4.5,5,6,5.75
Small,Foreign,48,6.5,7,7,7,7,6
Small,Foreign,50,7,7,7,7,7,6.25
Small,Foreign,43,6,5,5.5,6.5,6.666666667,5.375
Small,Foreign,49,7,7,7,6.5,7,6.125
Small,Foreign,41,5.5,5.5,6,6.5,6,5.125
Small,Foreign,24,5.5,2,3.5,1.5,5,3
Small,Foreign,39,4,4.5,4.5,4.5,5,4.875
Small,Foreign,45,6,6,6,6,7,5.625
Small,Foreign,48,7,7,7,7,7,6
Small,Foreign,44,3,6.5,4,6.5,5,5.5
Small,Foreign,51,4,7,4.5,6,6.333333333,6.375
Small,Foreign,47,7,6,6.5,7,6.333333333,5.875
Small,Foreign,34,5,4,4.5,5,7,4.25
Small,Foreign,47,6.5,5.5,6.5,7,7,5.875
Small,Foreign,48,7,7,7,7,7,6
Small,Foreign,49,7,7,7,7,7,6.125
Small,Foreign,52,6,5.5,7,6,7,6.5
Small,Foreign,56,7,7,7,7,7,7
Small,Foreign,56,6.5,4,7,6,6.666666667,7
Small,Foreign,54,7,4,6.5,6,6.333333333,6.75
Small,Foreign,54,7,6.5,7,7,6.666666667,6.75
Small,Foreign,56,7,7,7,7,7,7
Small,Foreign,56,7,7,7,7,7,7
Small,Foreign,51,7,7,7,7,7,6.375
Small,Foreign,56,7,7,7,7,7,7
Small,Foreign,44,4.5,5,4.5,5,4.666666667,5.5
