Size,Group,Greed_Total,Equality,Need,Equity,Deprivation,Blame,Greed
Small,Foreign,55,7,7,7,7,6.666666667,6.875
Small,Foreign,40,5,5,5.5,5.5,7,5
Small,Foreign,54,6.5,6.5,6.5,6.5,6.666666667,6.75
Small,Foreign,56,4,7,7,7,7,7
Small,Foreign,49,6,5.5,6,7,7,6.125
Small,Foreign,49,6.5,4,6.5,7,7,6.125
Small,Foreign,49,7,6.5,7,7,7,6.125
Small,Foreign,56,4,7,5.5,7,7,7
Small,Foreign,47,6,4,6,7,6.333333333,5.875
Small,Foreign,52,7,6,7,7,7,6.5
Small,Foreign,56,7,7,7,7,7,7
Small,Foreign,48,6,6,6.5,6.5,6.333333333,6
Small,Foreign,50,5,6,6.5,6.5,7,6.25
Small,Foreign,50,7,7,7,6.5,7,6.25
Small,Foreign,52,7,7,7,7,7,6.5
Small,Foreign,44,4,4,6.5,7,7,5.5
Small,Foreign,48,7,6,7,6,7,6
Small,Foreign,48,5.5,4,4,5.5,6,6
Small,Foreign,39,5,3.5,4,6,6,4.875
Small,Foreign,48,7,7,7,7,7,6
Small,Foreign,38,4.5,4,4.5,5.5,3.333333333,4.75
Small,Foreign,53,7,7,7,7,7,6.625
Small,Foreign,56,7,6.5,7,7,7,7
Small,Foreign,56,6,6,7,6.5,7,7
Small,Foreign,55,7,7,7,7,7,6.875
Small,Foreign,55,3.5,6.5,7,6,7,6.875
Small,Foreign,47,7,6.5,6.5,7,7,5.875
Small,Foreign,55,5,7,7,6.5,7,6.875
Small,Foreign,50,7,7,7,7,5,6.25
Small,Foreign,47,5,6,5.5,6.5,6,5.875
Small,Foreign,47,6,4.5,6,6.5,7,5.875
Small,Foreign,54,6.5,7,5.5,7,7,6.75
Small,Foreign,54,7,6.5,7,7,7,6.75
Small,Foreign,47,7,6.5,7,6.5,7,5.875
Small,Foreign,56,7,7,7,7,7,7
Small,Foreign,40,6,4.5,5.5,6.5,6.666666667,5
Small,Foreign,45,5.5,4.5,5.5,5.5,7,5.625
Small,Foreign,56,7,7,7,7,7,7
Small,Foreign,55,7,7,7,7,7,6.875
Small,Foreign,55,7,7,7,7,7,6.875
Small,Foreign,55,4,7,7,7,7,6.875
Small,Foreign,53,7,7,7,7,7,6.625
Small,Foreign,56,5.5,6.5,5.5,7,6,7
Small,Foreign,56,7,4,7,7,7,7
Small,Foreign,56,7,7,7,7,7,7
Small,Foreign,51,7,6,7,7,7,6.375
Small,Foreign,47,6.5,5,6,6,6,5.875
Small,Foreign,43,5,4.5,6,6,6.666666667,5.375
Small,Foreign,43,6,3.5,6,5.5,4.333333333,5.375
Small,Foreign,51,6.5,6,7,6,7,6.375
Small,Foreign,41,6.5,5.5,6.5,6,5.333333333,5.125
Small,Foreign,56,7,7,4,7,7,7
Small,Foreign,46,6,5.5,6,6,6.666666667,5.75
Small,Foreign,50,7,6.5,7,6.5,7,6.25
Small,Foreign,51,6,3,6.5,7,7,6.375
Small,Foreign,35,6,4.5,4,5,7,4.375
Small,Foreign,43,3.5,4.5,2,5,4.666666667,5.375
Small,Foreign,52,5,6.5,6.5,5.5,7,6.5
Small,Foreign,47,4,4.5,5,5,6.666666667,5.875
Small,Foreign,41,6,2.5,2.5,2.5,6,5.125
Small,Foreign,33,1.5,5,1.5,5.5,3.333333333,4.125
Small,Foreign,50,6,6.5,6,6,7,6.25
Small,Foreign,34,2,2,6,6,4,4.25
Small,Foreign,56,7,7,7,7,7,7
Small,Foreign,52,7,6.5,6.5,7,7,6.5
Small,Foreign,46,7,4,6,6.5,5.666666667,5.75
Small,Foreign,49,7,6,6,6.5,7,6.125
Small,Foreign,49,7,7,7,7,5,6.125
Small,Foreign,55,7,7,7,7,7,6.875
Small,Foreign,40,6,5,6,6,6.666666667,5
Small,Foreign,51,6,5.5,6.5,6,6.666666667,6.375
Small,Foreign,42,5,5.5,5,5.5,6.333333333,5.25
Small,Foreign,56,7,7,7,7,7,7
Small,Foreign,56,7,7,7,7,7,7
Small,Foreign,56,7,7,7,7,7,7
Small,Foreign,46,5,4,6,6,6.333333333,5.75
Small,Foreign,46,3,5.5,6,6,6,5.75
Small,Foreign,49,5,6,7,6.5,7,6.125
Small,Foreign,50,7,7,7,4.5,7,6.25
Small,Foreign,53,7,6,7,7,7,6.625
Small,Foreign,55,7,6.5,7,7,7,6.875
Small,Foreign,56,4,7,7,7,7,7
Small,Foreign,44,5.5,5.5,6,5,5.666666667,5.5
Large,Local,56,7,7,7,7,7,7
Large,Local,53,6,5.5,6,6.5,6.666666667,6.625
Large,Local,41,4.5,5.5,3.5,5.5,5.666666667,5.125
Large,Local,51,3,4,5.5,5.5,6,6.375
Large,Local,55,7,7,7,6.5,7,6.875
Large,Local,52,6,7,7,7,7,6.5
Large,Local,55,7,7,7,7,7,6.875
Large,Local,51,6,6.5,6.5,6,7,6.375
Large,Local,55,4,7,5,5.5,7,6.875
Large,Local,43,7,5.5,6.5,5.5,6.666666667,5.375
Large,Local,52,6.5,6.5,6.5,7,6,6.5
Large,Local,46,6,7,7,6.5,7,5.75
Large,Local,48,7,6.5,7,5.5,6.333333333,6
Large,Local,39,5,4,6,6,6.666666667,4.875
Large,Local,39,2.5,7,2,6,3.666666667,4.875
Large,Local,56,7,7,7,7,7,7
Large,Local,55,7,7,7,7,7,6.875
Large,Local,56,7,7,7,7,7,7
Large,Local,41,4,5,5.5,6,6,5.125
Large,Local,49,7,6,7,6,6.333333333,6.125
Large,Local,56,2.5,7,7,7,7,7
Large,Local,41,4,6,5.5,2,7,5.125
Large,Local,52,5.5,6,5.5,6,6,6.5
Large,Local,54,7,7,7,6.5,6.666666667,6.75
Large,Local,51,4,6,5,5.5,7,6.375
Large,Local,56,6,7,7,7,7,7
Large,Local,56,7,7,7,7,7,7
Large,Local,56,7,7,7,7,7,7
Large,Local,55,7,7,6.5,7,7,6.875
Large,Local,54,7,6,7,6.5,7,6.75
Large,Local,56,7,7,7,7,7,7
Large,Local,56,7,7,7,7,7,7
Large,Local,46,7,6.5,7,6,7,5.75
Large,Local,50,6.5,6.5,7,7,6.666666667,6.25
Large,Local,51,4,6,7,5,7,6.375
Large,Local,54,7,7,7,7,7,6.75
Large,Local,40,3.5,4.5,6,6.5,6.333333333,5
Large,Local,56,7,7,7,7,7,7
Large,Local,54,6.5,5.5,7,6.5,5.666666667,6.75
Large,Local,42,6,5.5,4.5,5,4.333333333,5.25
Large,Local,55,6,6,7,7,7,6.875
Large,Local,54,6,6,6,6,7,6.75
Large,Local,54,4,6.5,7,6,6.666666667,6.75
Large,Local,54,7,6.5,6.5,7,6.666666667,6.75
Large,Local,56,7,5,7,7,7,7
Large,Local,56,7,7,7,7,7,7
Large,Local,51,7,5.5,6.5,5,7,6.375
Large,Local,56,5.5,7,7,7,7,7
Large,Local,56,7,7,7,7,7,7
Large,Local,51,4.5,6.5,6,5.5,7,6.375
Large,Local,56,7,7,7,7,7,7
Large,Local,56,7,7,7,7,7,7
Large,Local,51,4,6.5,7,7,7,6.375
Large,Local,53,6.5,6.5,7,6.5,6.666666667,6.625
Large,Local,50,7,4,7,4,5,6.25
Large,Local,56,7,7,7,7,7,7
Large,Local,54,6.5,7,4,7,6.666666667,6.75
Large,Local,40,6,5.5,6.5,6.5,5,5
Large,Local,51,6,4.5,4,5,5,6.375
Large,Local,56,5.5,7,7,7,7,7
Large,Local,55,7,7,7,7,6.333333333,6.875
Large,Local,50,6,6.5,6.5,6.5,7,6.25
Large,Local,56,7,7,7,7,7,7
Large,Local,52,7,7,7,5.5,5.333333333,6.5
Large,Local,56,7,7,7,7,5,7
Large,Local,56,7,7,7,7,7,7
Large,Local,56,7,7,7,7,7,7
Large,Local,55,7,7,7,6.5,6.666666667,6.875
Large,Local,52,7,6,6.5,6.5,6.666666667,6.5
Large,Local,56,7,7,7,7,7,7
Large,Local,45,4,6,6,6,5,5.625
Large,Local,55,7,7,7,7,7,6.875
Large,Local,46,6,5.5,6.5,5.5,6.333333333,5.75
Large,Local,51,7,6.5,7,7,7,6.375
Large,Local,48,3,5,6.5,6,6,6
Large,Local,51,6.5,6,6.5,6.5,7,6.375
Large,Local,56,7,7,7,7,7,7
Large,Local,51,4.5,7,7,7,7,6.375
Large,Local,54,6.5,6.5,5.5,6,7,6.75
Large,Local,52,7,6,6,6,7,6.5
Large,Local,55,7,7,7,7,6.333333333,6.875
Large,Local,56,7,7,7,7,7,7
Large,Local,56,7,7,7,7,7,7
Large,Local,40,4.5,4,3,4,7,5
Large,Local,52,7,6,7,7,7,6.5
Large,Local,53,1,5.5,7,7,7,6.625
Large,Local,55,7,4,7,7,7,6.875
Large,Local,53,4,7,6.5,6.5,7,6.625
Large,Local,56,7,7,7,7,7,7
Large,Local,47,6,4.5,6,5.5,5.666666667,5.875
Large,Local,56,5.5,6.5,7,6.5,7,7
Large,Local,43,6,5,6,5.5,6.333333333,5.375
Large,Local,52,6.5,6,6,6,6.666666667,6.5
Large,Local,41,2.5,4.5,4,5.5,7,5.125
Large,Local,56,7,7,7,7,7,7
Large,Local,51,6,6,6,6.5,7,6.375
Large,Local,54,7,5.5,7,6,7,6.75
Large,Local,56,7,7,7,7,7,7
Large,Local,55,7,7,7,7,5,6.875
Large,Local,52,6,6.5,7,7,7,6.5
Large,Local,46,5.5,6,5.5,4.5,3.666666667,5.75
Large,Local,56,7,7,7,7,7,7
Large,Local,56,7,7,5.5,7,7,7
Large,Local,53,7,6,7,6,7,6.625
Large,Local,56,7,7,7,7,5,7
Large,Local,56,7,7,7,7,7,7
Large,Local,43,5.5,5,5,4.5,5.333333333,5.375
Large,Local,46,7,6,7,6,4.666666667,5.75
Large,Local,49,6,4.5,6.5,7,5.333333333,6.125
Large,Local,56,7,7,7,7,7,7
Large,Local,45,7,6,6.5,6,7,5.625
Large,Local,49,3.5,6,6.5,5.5,6.666666667,6.125
Large,Local,55,6.5,6,7,7,7,6.875
Large,Local,49,5,6,6,5,5.666666667,6.125
Large,Local,56,7,7,7,7,7,7
Large,Local,51,7,6,7,6,6.333333333,6.375
Large,Local,56,7,7,7,7,7,7
Large,Local,48,7,6,5,7,7,6
Large,Local,55,7,6.5,7,7,7,6.875
Large,Local,43,6,5.5,6,6,6,5.375
Large,Local,48,6,3.5,6,5.5,6.333333333,6
Large,Local,55,7,7,7,5.5,7,6.875
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,49,6,7,6.5,7,7,6.125
Large,Foreign,55,6,6,6.5,6.5,6,6.875
Large,Foreign,52,7,7,7,7,7,6.5
Large,Foreign,49,6,4,7,6.5,6.666666667,6.125
Large,Foreign,55,7,5.5,6.5,6.5,5.666666667,6.875
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,55,6,7,7,6.5,7,6.875
Large,Foreign,48,7,6.5,7,6.5,6.666666667,6
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,43,3,6,5,5,2.666666667,5.375
Large,Foreign,44,6,5,6,5.5,6.333333333,5.5
Large,Foreign,48,6,6,6,6,6,6
Large,Foreign,46,5.5,5,6,5.5,6,5.75
Large,Foreign,56,7,7,7,7,6.666666667,7
Large,Foreign,55,7,7,7,7,7,6.875
Large,Foreign,45,6,6,5.5,6.5,5.333333333,5.625
Large,Foreign,45,6,6,6,6,6,5.625
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,54,7,6,7,7,7,6.75
Large,Foreign,55,7,7,7,7,7,6.875
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,43,2,5.5,6,6,7,5.375
Large,Foreign,41,5.5,5,6.5,3.5,4.666666667,5.125
Large,Foreign,52,4,6.5,5,6,6,6.5
Large,Foreign,55,7,6.5,7,6.5,6.666666667,6.875
Large,Foreign,54,7,7,6.5,6.5,7,6.75
Large,Foreign,50,5,6.5,5.5,6,6,6.25
Large,Foreign,54,7,7,7,6.5,7,6.75
Large,Foreign,49,4,6,6,7,6.666666667,6.125
Large,Foreign,48,6,6,6,6,7,6
Large,Foreign,49,7,5.5,7,6.5,7,6.125
Large,Foreign,56,7,6.5,6,7,7,7
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,55,7,7,7,7,5,6.875
Large,Foreign,56,6,6.5,6.5,7,7,7
Large,Foreign,42,6,5.5,6,7,5,5.25
Large,Foreign,44,7,4,7,5.5,4.666666667,5.5
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,46,6,6,7,7,6.666666667,5.75
Large,Foreign,55,7,4,7,7,7,6.875
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,55,7,7,7,7,7,6.875
Large,Foreign,56,7,6,6,7,6.666666667,7
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,43,3.5,5,5,5,6.333333333,5.375
Large,Foreign,56,4,6.5,7,6.5,7,7
Large,Foreign,56,7,7,7,6.5,7,7
Large,Foreign,55,6.5,7,7,7,7,6.875
Large,Foreign,56,6,7,7,7,6,7
Large,Foreign,55,7,7,7,7,7,6.875
Large,Foreign,44,4.5,5.5,5,5.5,6,5.5
Large,Foreign,54,7,7,7,6.5,7,6.75
Large,Foreign,41,4.5,4,3.5,4.5,5.333333333,5.125
Large,Foreign,50,5.5,6,6,7,7,6.25
Large,Foreign,52,7,4.5,6.5,7,6.333333333,6.5
Large,Foreign,54,7,7,7,7,7,6.75
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,49,7,6,7,7,7,6.125
Large,Foreign,56,4,7,7,7,6.333333333,7
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,54,6.5,7,6.5,7,7,6.75
Large,Foreign,55,6.5,7,7,7,7,6.875
Large,Foreign,53,6.5,7,7,7,5.333333333,6.625
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,55,6.5,7,7,7,7,6.875
Large,Foreign,56,3,6.5,6,6.5,6,7
Large,Foreign,51,7,6,7,7,7,6.375
Large,Foreign,50,7,7,7,7,7,6.25
Large,Foreign,55,5,7,7,7,7,6.875
Large,Foreign,48,6,6,6,6,6,6
Large,Foreign,55,7,5,6.5,7,7,6.875
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,54,7,7,7,7,7,6.75
Large,Foreign,41,4,4.5,4,4.5,5,5.125
Large,Foreign,48,6.5,6,6.5,5,5.666666667,6
Large,Foreign,51,4,4.5,7,6.5,7,6.375
Large,Foreign,55,7,7,7,7,7,6.875
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,53,7,7,7,7,7,6.625
Large,Foreign,40,5.5,5,5.5,7,5.666666667,5
Large,Foreign,55,7,7,7,7,7,6.875
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,54,7,6,7,7,7,6.75
Large,Foreign,49,7,6.5,7,6.5,7,6.125
Large,Foreign,55,7,6.5,7,7,6.666666667,6.875
Large,Foreign,46,6,6,7,7,6,5.75
Large,Foreign,50,7,7,6.5,6.5,7,6.25
Large,Foreign,49,5,7,7,6.5,7,6.125
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,56,7,7,7,7,3.666666667,7
Large,Foreign,55,7,7,7,7,7,6.875
Large,Foreign,54,6,7,7,7,7,6.75
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,54,7,6,7,7,7,6.75
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,45,7,5,6.5,5.5,7,5.625
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,53,7,6,4,7,7,6.625
Large,Foreign,56,5.5,7,7,7,7,7
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,47,7,5.5,6,7,5.666666667,5.875
Large,Foreign,53,7,7,6.5,6,6,6.625
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,53,7,4,7,5.5,6.666666667,6.625
Large,Foreign,54,7,7,6.5,7,6.666666667,6.75
Large,Foreign,50,6.5,6,6.5,6.5,7,6.25
Large,Foreign,44,5.5,6,5.5,6,7,5.5
Large,Foreign,51,7,6.5,7,5,5.333333333,6.375
Large,Foreign,56,7,6.5,6.5,7,7,7
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,49,7,6.5,7,7,7,6.125
Large,Foreign,56,7,7,7,7,7,7
Large,Foreign,56,7,7,7,6.5,6,7
